"id","value","label_kor","label_eng","tier","tier_cn","set_ids","set_names_ko","effect_content","image","description","level","created_at","disabled","source_url","scraped_at"
"11","shield","보호막","shield","common","普通","guardian","수호","[고유] 보호막 획득","https://img.sephiria.wiki/artifacts/shield.webp","보호막 마법이 적혀있는 책.","1","2025-08-04T06:27:31.655349+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"12","unclean_bandage","부정한 붕대","unclean_bandage","common","普通","precision","정밀","[고유] 치명타 확률 +1/3/6/9%
물리 피해 +1/2/3/3","https://img.sephiria.wiki/artifacts/unclean_bandage.png","춤추는 그을은 연기처럼.","3","2025-08-05T09:54:42.306613+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"13","ice_bolt","아이스 볼트","ice_bolt","common","普通","glacier","빙하","[고유] 아이스 볼트 획득","https://img.sephiria.wiki/artifacts/ice_bolt.png","아이스 볼트 마법이 적혀있는 책.","1","2025-08-05T09:56:36.517258+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"14","compression_band","압박 밴드","compression_band","common","普通","spring_song","바람노래","[고유] 대시 회복 속도 +10/15/30%","https://img.sephiria.wiki/artifacts/compression_band.png","털을 감춰 더 빠르게 움직일 수 있게 한다…는 인식을 심어준다.","2","2025-08-05T09:57:59.218589+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"15","endodits_questionnaire","엔도디토의 문진","endodits_questionnaire","common","普通","lake","호수","MP 재생 +3/6/9
최대 MP +3/6/9","https://img.sephiria.wiki/artifacts/endodits_questionnaire.png","양피지가 있으면 자동으로 펴주는 마법 도구.","2","2025-08-05T09:59:38.756352+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"16","smoke_screen","연막","smoke_screen","common","普通","shadow","그림자","[고유] 연막 획득","https://img.sephiria.wiki/artifacts/smoke_screen.png","연막 마법이 적혀있는 책.","0","2025-08-05T10:01:51.643932+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"17","amulet_of_aspiration","열망의 부적","amulet_of_aspiration","common","普通","precision","정밀","[고유] 무기 공격의 치명타 확률 +3/6/10/14% 증가","https://img.sephiria.wiki/artifacts/amulet_of_aspiration.png","바라건대 이 몸에 강인한 영혼을.","3","2025-08-05T10:03:41.560721+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"18","ohia_lehua","오히아 레후아","ohia_lehua","common","普通","yinggalbul","잉걸불","[고유] 무기 공격이나 마법서로 피해를 주면 대상에게 10/20/30 화염속성 피해를 가함 (재사용 대기시간 2초)","https://img.sephiria.wiki/artifacts/ohia_lehua.webp","이 꽃을 꺾으면 비가 내린다.","2","2025-08-05T10:05:09.692538+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"19","silver_plate","은접시","silver_plate","common","普通","firmness","견고","<제약> 인벤토리 가장 아래 칸에 있을 때 효과 발동
[고유] 일반 공격 피해 +3/6/10%
특수 공격 피해 +3/6/10%","https://img.sephiria.wiki/artifacts/silver_plate.png","피가 그 열쇠다.","2","2025-08-05T10:08:43.315984+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"20","straw","지푸라기 인형","straw","common","普通","lake","호수","MP 재생 +3/6/9
치명타 피해 +2/3/5%","https://img.sephiria.wiki/artifacts/straw.png","마사지를 해주면 자신도 시원해지는 기분입니다.","2","2025-08-05T10:10:22.660136+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"21","chiri","찌릿 슈크림빵","chiri","common","普通","extrium","먹구름","적 처치 시 33% 확률로 전기 빵이 바닥에 떨어짐
전기 빵을 먹으면 먹구름 1/2/3 획득","https://img.sephiria.wiki/artifacts/chiri.png","커스터드로 속을 채워넣은 빵.
빠르게 먹지 않으면 흘러내린다.","2","2025-08-05T10:15:20.985706+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"22","cloth_armor","천 갑옷","cloth_armor","common","普通","guardian","수호","방어력 +3/6","https://img.sephiria.wiki/artifacts/cloth_armor.png","두꺼운 재질이 보온이 필요 없는 동물에게도 따뜻함을 줍니다.","1","2025-08-05T10:19:09.719123+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"23","green_tooth","초록색 톱니","green_tooth","common","普通","precision","정밀","[고유] 전투 중 MP 소모 15당 치명타 확률 +3% 버프 획득 (20초간, 최대 3중첩 누적)","https://img.sephiria.wiki/artifacts/green_tooth.png","어딘가에 부착하면 스스로 돌아가는 마법이 걸려있다.","0","2025-08-05T10:21:09.533409+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"24","blessing","축복","blessing","common","普通","","","[고유] 축복 획득","https://img.sephiria.wiki/artifacts/blessing.png","축복 마법이 적혀있는 책.","2","2025-08-05T10:34:42.736663+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"25","calges","캘세더니 열쇠","calges","advanced","高级","magic_engineering","마법공학","[고유] 위치한 가로줄에 따라 견고, 잉걸불, 빙하, 마법공학 중 하나의 콤보가 부여됨
부여된 콤보와 관련된 속성 피해 +2/4/6/8","https://img.sephiria.wiki/artifacts/calges_2.png","어딘가를 여는 것이 아닌 의식을 위해 만들어졌다.","3","2025-08-05T10:42:14.877831+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"26","criton","크리톤의 인장","criton","common","普通","bargaining","교섭","잎 획득량 +10/25/50%","https://img.sephiria.wiki/artifacts/criton.png","탑에서 남용되어 화폐가 될 뻔한 물건.","2","2025-08-05T10:43:31.404029+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"27","fire_bolt","파이어 볼트","fire_bolt","common","普通","yinggalbul","잉걸불","[고유] 파이어 볼트 획득","https://img.sephiria.wiki/artifacts/fire_bolt.png","파이어 볼트 마법이 적혀있는 책.","1","2025-08-05T10:44:45.182837+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"28","pro","프로슘 반지","pro","common","普通","glacier","빙하","[고유] 무기 공격이나 마법서로 피해를 주면 대상에게 10/20/30 얼음속성 피해를 가함 (재사용 대기시간 2초)","https://img.sephiria.wiki/artifacts/pro.png","얼음 협곡 중심부에서 채취한 물질을 가공한 반지","2","2025-08-05T10:46:26.537552+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"29","golden_leaf","황금 단풍잎","golden_leaf","common","普通","bargaining","교섭","[고유] 경험치 드롭 +10%","https://img.sephiria.wiki/artifacts/golden_leaf.png","상인 협회에서 만든 기념주화.","0","2025-08-05T10:47:36.25524+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"30","amulet_of_power","힘의 부적","amulet_of_power","common","普通","firmness","견고","[고유] 물리 피해 +2/3/4/6","https://img.sephiria.wiki/artifacts/amulet_of_power.webp","믿음직스럽지 않게 '힘'이라 적혀 있다.","3","2025-08-05T10:48:46.210845+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"31","thornbush","가시덤불","thornbush","advanced","高级","spring_song","바람노래","<제약> 인벤토리 안쪽에 있을 때 효과 발동
[고유] 대시 중 닿은 적을 물리 피해의 30/45/60/75/100%로 공격
대시 횟수 소모시 2배 피해","https://img.sephiria.wiki/artifacts/thornbush.png","다가오지 말아요.","4","2025-08-05T10:50:26.522573+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"32","thorn_shell","가시 등껍질","thorn_shell","advanced","高级","guardian","수호","[고유] 가시 +150/300/450%
방어력 +1/2/3","https://img.sephiria.wiki/artifacts/thorn_shell.png","스스로가 찔리지 않도록 팔을 잘 조절해야 합니다.","2","2025-08-05T10:57:41.496918+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"33","viscosity","가시 부적","viscosity","advanced","高级","firmness","견고","[고유] 치명타 확률 +2/4/6/10%
물리 피해 +1/1/2/3","https://img.sephiria.wiki/artifacts/viscosity.png","가방에 넣어두면 가시가 삐져나올 것 같다.","3","2025-08-05T11:00:44.450183+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"34","simple_contract","간이 계약서","simple_contract","advanced","高级","colleague","동료","[고유] 동료들의 최대 HP +25/55/88/120/150%","https://img.sephiria.wiki/artifacts/simple_contract.png","주로 소환 마법에 사용되는, 마법을 담아둘 수 있는 신비한 종이.","5","2025-08-05T11:03:20.013563+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"35","craving","갈망의 보주","craving","advanced","高级","academy","아카데미","[고유] MP를 15 점유하여 마법서로 주는 피해량이 10/12/15/18% 증가","https://img.sephiria.wiki/artifacts/craving.png","쳐다보고 있으면 눈이 해롱해롱해집니다.","3","2025-08-05T11:04:39.398508+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"36","cloud_bottle","구름 병","cloud_bottle","advanced","高级","extrium","먹구름","대시 공격 성공 시 먹구름 1/2/3/5/7/10 획득 (재사용 대기시간 3.5초)
먹구름의 소모 속도 +5/10/15/20/25/30%","https://img.sephiria.wiki/artifacts/cloud_bottle.png","먹구름을 담아둔 특별한 마법 주머니.","5","2025-08-05T11:06:33.318468+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"37","cloud_seed_arrowhead","구름씨 화살촉","cloud_seed_arrowhead","advanced","高级","extrium","먹구름","먹구름의 벼락이 5/10/15/23/35/50% 확률로 강화되어 발사됨","https://img.sephiria.wiki/artifacts/cloud_seed_arrowhead.png","구름에 쏘면 비가 내린다고 한다.","5","2025-08-05T11:09:07.842882+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"38","gold_cloak","금빛 망토","gold_cloak","advanced","高级","spring_song","바람노래","[고유] 대시 횟수 +1/1/2
공격 속도 +3/6/9%","https://img.sephiria.wiki/artifacts/gold_cloak.png","이 망토는 왜 안쪽까지 금빛일까?","2","2025-08-05T11:10:11.591121+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"39","golden_hand_bell","금빛 핸드벨","golden_hand_bell","advanced","高级","colleague","동료","[고유] 함께 싸워주는 동료 소환","https://img.sephiria.wiki/artifacts/golden_hand_bell.png","금빛 핸드벨.","4","2025-08-05T11:11:37.706543+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"40","broken_mirror","깨진 거울","broken_mirror","advanced","高级","guardian","수호","[고유] 장소 이동시 내구도 +5/12의 보호막 획득
방어력 +4/8","https://img.sephiria.wiki/artifacts/broken_mirror.png","고쳐줄 수 있는 사람이 어딘가에 있을지도 몰라.","1","2025-08-05T11:12:46.046649+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"41","yellow_planet","노란 행성","yellow_planet","advanced","高级","planet","행성","[고유] 피해량 20/26/32/38/45/52/60의 튕기는 물리 탄환을 발사하는 노란 행성 소환","https://img.sephiria.wiki/artifacts/yellow_planet.png","도서관에 전시되어 있던 노란 행성.
과거 하늘 밖을 보던 자들이 만들었다.","6","2025-08-05T11:13:50.903469+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"42","snowborne","눈보라 망치","snowborne","advanced","高级","ice_weapon","얼음무구","[고유] 전투 중 7초마다 충전. 충전 이후 대시 시 아래 효과 발동
주변 적에게 망치를 날려 얼음 피해를 가함
(피해량: 14 + 얼음 속성 피해 50/100/150/200/250/300%)","https://img.sephiria.wiki/artifacts/snowborne.png","푸른 불을 사용하던 용광로 옆에 놓여있었다 전해지고 있습니다.","5","2025-08-05T11:16:07.21643+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"43","great_blessing","대축복","great_blessing","advanced","高级","mystery","신비","[고유] 대축복 획득","https://img.sephiria.wiki/artifacts/great_blessing.png","대축복 마법이 적혀있는 책.","2","2025-08-05T11:17:23.964707+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"44","ray_known","레이에 별조각","ray_known","advanced","高级","academy","아카데미","왼쪽 칸의 마법서 MP 소모 30/35/42/55% 감소","https://img.sephiria.wiki/artifacts/ray_known.png","아주 뜨겁고 밝은 별에서 나온 조각.","3","2025-08-05T11:18:57.001348+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"45","lip","리포스테 봉 파편","lip","advanced","高级","firmness","견고","[고유] 카운터: 가드 시 전방으로 짧은 근접 공격 생성함 (물리 피해의 100/200/310/440/580/720%)
봉 전용","https://img.sephiria.wiki/artifacts/lip.png","소유자의 움직임을 방해하지 않는 정교한 봉 파편.","5","2025-08-05T11:20:21.438951+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"46","magma_bead","마그마 구슬","magma_bead","legend","传说","yinggalbul","잉걸불","[고유] 화상 부여 시 0/1/1/2회 추가 부여
화상 중첩 +1/1/1/2","https://img.sephiria.wiki/artifacts/magma_bead.png","마그마의 기운을 머금은 구슬.","3","2025-08-05T11:21:41.843045+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"47","magic_carrot","마법 당근","magic_carrot","advanced","高级","element","원소","<제약> 인벤토리 최상단에 있을 때 효과 발동
[고유] 가장 높은 속성 피해 +2/3/4/6/8
이동 속도 +2/4/6/8/10%","https://img.sephiria.wiki/artifacts/magic_carrot.png","가끔 발견되는 특별한 당근.
썩지 않지만 먹을 수 없다.","4","2025-08-05T11:23:32.123329+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"48","kaleidoscope","만화경","kaleidoscope","advanced","高级","precision","정밀","대상의 슈퍼 아머에 추가 피해 +15/25/35/45/55%","https://img.sephiria.wiki/artifacts/kaleidoscope.png","작은 알알들의 변화무쌍.","4","2025-08-05T11:24:43.693077+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"49","fascinating_lure","매혹하는 루어","fascinating_lure","advanced","高级","lake|element","호수|원소","[고유] MP 재생 +3/5/8
화염속성 피해 +1/1/2
얼음속성 피해 +1/1/2
번개속성 피해 +1/1/2
물리 피해 +1/1/2","https://img.sephiria.wiki/artifacts/fascinating_lure.webp","물고기 사역마를 부리고 싶은 괴짜 마법사가 만들었습니다.","2","2025-08-05T11:25:48.679931+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"50","water_bag","물주머니","water_bag","advanced","高级","lake","호수","[고유] MP를 소모할 때마다 최대 MP 1 증가 (최대 10/15/20/25, 재사용 대기시간: 5초)","https://img.sephiria.wiki/artifacts/water_bag.png","밤 사이 이슬이 차오르고, 낮에는 봉오리가 닫힌다.","3","2025-08-05T11:27:03.476058+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"51","mini_balista","미니 발리스타","mini_balista","advanced","高级","extrium|colleague","먹구름|동료","[고유] 함께 싸워주는 동료 소환
전기 화살에 적이 맞으면 20/34/48/61/75% 확률로 먹구름 1 획득","https://img.sephiria.wiki/artifacts/mini_balista.png","누군가는 대형화를 꿈꾸듯, 소형화를 꿈꾸는 자도 있었다.","4","2025-08-05T11:29:12.433292+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"52","vane","바람개비","vane","advanced","高级","spring_song|shadow","바람노래|그림자","[고유] 회피 +2/4/6
공격 속도 +3/6/9%","https://img.sephiria.wiki/artifacts/vane.png","언령을 외우면 바람이 없어도 돌아가기 시작한다.","2","2025-08-05T11:30:52.046714+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"53","firefly","반딧불이","firefly","advanced","高级","magic_engineering","마법공학","[고유] 번개 속성 피해 +4/8/12
피격 시 6초간 비활성화","https://img.sephiria.wiki/artifacts/firefly.webp","차가운 빛을 뿜어내는 벌레.
만지면 찌릿하다.","2","2025-08-06T10:00:01.34117+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"54","balisong","발리송","balisong","advanced","高级","precision","정밀","[고유] 2.5타일 이내 거리의 적에게 주는 피해량 +6/8/11/14%","https://img.sephiria.wiki/artifacts/balisong.png","어느 마을의 이름을 따온 특이한 모양의 칼.","3","2025-08-06T10:03:11.484791+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"55","ignition","발화 기름","ignition","advanced","高级","yinggalbul","잉걸불","[고유] 대검 소용돌이 시전 시 2.5타일 반경 내 불길 생성
화염 속성 피해 +3/6/9/12
얼음 속성 피해 -2/2/4/4
대검 전용","https://img.sephiria.wiki/artifacts/ignition.png","발화 기름이 들어있는 통.","3","2025-08-06T10:05:55.437941+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"56","shield_earring","방패 귀고리","shield_earring","advanced","高级","guardian","수호","[고유] 최대 HP +5/10/15/20
회피 -5/4/3/2","https://img.sephiria.wiki/artifacts/shield_earring.webp","검과 방패로 한 쌍의 귀고리가 완성된다.","3","2025-08-06T10:09:37.256334+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"57","discarded_gold_ring","버려진 금반지","discarded_gold_ring","advanced","高级","firmness","견고","[고유] 소용돌이 범위 +10/20/30%
특수공격으로 적을 40명 처치 시 절대반지로 변함
대검 전용","https://img.sephiria.wiki/artifacts/discarded_gold_ring.png","한 때엔 누군가를 축복하기에 충분했던 반지.","2","2025-08-06T10:14:37.747164+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"58","lightning_boomerang","번개 부메랑","lightning_boomerang","advanced","高级","magic_engineering","마법공학","[고유] 번개 부메랑 획득","https://img.sephiria.wiki/artifacts/lightningboomerang.png","번개 부메랑 마법이 적혀있는 책.","4","2025-08-06T11:01:21.303432+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"59","phoenix","봉황의 날개깃","phoenix","advanced","高级","yinggalbul","잉걸불","전투 중 주변 1/2/3명의 적에게 날아가 화상 디버프를 가하는 깃털 소환 (쿨다운 3.5초)
화염속성 피해 +2/3/5","https://img.sephiria.wiki/artifacts/phoenix.png","탑 밖에 세상이 있던 시절에도 특별했던 동물의 깃털. 열기가 사라지지 않는다.","2","2025-08-06T11:16:07.280223+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"60","red_snake_eye","붉은 뱀의 눈","red_snake_eye","advanced","高级","yinggalbul","잉걸불","[고유] 플레이어 주변에 화염 속성 피해 130/150/150/170/170/170%의 운석을 1/1/2/2/3/4개 떨어트림
운석에 맞은 적은 화상 디버프 부여
재사용 대기시간: 5초","https://img.sephiria.wiki/artifacts/red_snake_eye.png","뜨거운 기운을 머금은 보석.
어두운 곳에서도 길잡이가 되어준다.","5","2025-08-06T11:29:38.82491+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"61","red_dew","붉은 이슬","red_dew","advanced","高级","precision","정밀","[고유] 치명타 적중 시, 주변 적에게 가장 높은 속성 수치의 10/14/21/30%만큼 피해를 입힘","https://img.sephiria.wiki/artifacts/red_dew.webp","그들의 죄를 두고 가게 하자.","3","2025-08-06T11:30:44.399754+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"62","piece_of_red_cloth","붉은 천 조각","piece_of_red_cloth","advanced","高级","curse","저주","[고유] 적에게 피해를 가할 때 대상에게 부여된 디버프 하나당 4/5/7/10%의 추가 피해를 가함","https://img.sephiria.wiki/artifacts/piece_of_red_cloth.webp","광신도들이 소지하고 있는 붉은 천 조각.","3","2025-08-06T11:31:56.737549+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"63","red_planet","붉은 행성","red_planet","advanced","高级","planet","행성","[고유] 피해량 26/31/36/42/48/54/60의 화염 미사일을 발사하는 붉은 행성 소환","https://img.sephiria.wiki/artifacts/red_planet.webp","도서관에 전시되어 있던 붉은 행성.
과거 하늘 밖을 보던 자들이 만들었다.","6","2025-08-06T11:33:13.73452+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"64","ice_snow","빙설덩굴","ice_snow","advanced","高级","glacier","빙하","[고유] 특수 공격 사용시 전방으로 1줄기 얼음 가시 생성 (피해량: 10 + 얼음속성 피해 50/90/140%)
가시가 적에게 적중 시 동상 부여
재사용 대기시간 : 0.8초","https://img.sephiria.wiki/artifacts/ice_snow.png","인공적으로 만들어진 꽃.
따뜻한 곳에 있어도 녹지 않는다.","2","2025-08-06T11:34:53.482818+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"65","glacier","빙하의 메아리","glacier","advanced","高级","glacier","빙하","[고유] 5/4/3/2.5초마다 주변 적에게 동상 부여
방어력 +3/6/10/10","https://img.sephiria.wiki/artifacts/glacier.png","어느 눈덮인 섬에는 아직도 조상님들이 잠들어 있다죠.","3","2025-08-06T11:36:04.89132+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"66","point","뾰족 도토리","point","advanced","高级","extrium","먹구름","[고유] 전투 중 먹구름 회복 속도 +3/6/9/12%
회피 +3/3/6/6","https://img.sephiria.wiki/artifacts/point.webp","번개를 다루는 일족이 좋아하는 열매.","3","2025-08-11T09:27:18.811224+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"67","storm","뾰족 부싯돌","storm","advanced","高级","element","원소","[고유] 치명타 확률 +2/4/6/8%
가장 높은 속성 피해 +1/2/3/4","https://img.sephiria.wiki/artifacts/storm.webp","마을에서는 잘 사용하지 않는 물건.","3","2025-08-11T09:29:02.18312+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"68","sapote","사포테 열매","sapote","advanced","高级","extrium","먹구름","먹구름 용량 +4/8/12/16
MP 재생 +1/2/3/4","https://img.sephiria.wiki/artifacts/sapote.png","갈증이 날 때 씹으면 왜인지 모르게 괜찮아진다.","3","2025-08-11T09:30:42.712953+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"69","sharp_eye","샤프 아이","sharp_eye","advanced","高级","precision","정밀","[고유] 샤프 아이 획득","https://img.sephiria.wiki/artifacts/sharp_eye.png","샤프 아이 마법이 적혀있는 책.","2","2025-08-11T09:31:57.015649+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"70","frost_dagger","서리 단검","frost_dagger","advanced","高级","glacier","빙하","[고유] 서리 단검 획득","https://img.sephiria.wiki/artifacts/frost_dagger.png","서리 단검 마법이 적혀있는 책.","4","2025-08-11T09:32:58.378156+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
"71","crossbow_quiver","석궁 화살통","crossbow_quiver","advanced","高级","firmness","견고","[고유] 석궁 재장전 속도 +20/40/65/100
석궁 전용","https://img.sephiria.wiki/artifacts/crossbow_quiver.webp","가볍고 튼튼한 나무를 덧대어 만들어졌습니다.","3","2025-08-11T09:36:43.759976+00:00","False","https://www.sephiria.wiki/artifact","2026-08-02T10:51:21.5595648Z"
